Interest_Rate_ID,Benefits,Type,Prime,Interest
001,Long-Term Customer,Long-term,6.91,4.14
002,Student,Long-term,1.59,1.28
003,None,Long-term,6.55,5.14
004,Long-Term Customer,Short-term,4.25,9.26
005,None,Short-term,3.89,9.11
006,None,Long-term,6.16,5.08
007,Soldier,Short-term,8.05,9.73
008,Soldier,Long-term,3.8,6.25
009,Student,Long-term,2.46,1.08
010,Student,Long-term,5.08,8.05
011,Soldier,Long-term,5.24,0.65
012,Long-Term Customer,Short-term,4.61,7.43
013,Student,Short-term,6.38,8.83
014,Student,Long-term,2.19,2.68
015,Student,Long-term,6.98,0.16
016,Soldier,Short-term,6.2,1.73
017,Student,Long-term,8.79,0.51
018,Student,Short-term,3.49,5.82
019,None,Long-term,1.23,8.38
020,Soldier,Long-term,9.93,3.48
021,Long-Term Customer,Short-term,4.45,2.22
022,Student,Long-term,9.42,2.89
023,Soldier,Short-term,2.7,2.24
024,Student,Long-term,6.63,7.02
025,Student,Short-term,2.12,0.02
026,Long-Term Customer,Short-term,4.19,1.54
027,None,Short-term,9.12,2.17
028,None,Short-term,8.18,8.75
029,None,Short-term,3.97,0.08
030,Student,Short-term,7.47,0.28
031,Soldier,Short-term,2.63,7.36
032,Soldier,Short-term,7.64,1.64
033,Soldier,Long-term,3.07,5.8
034,Student,Long-term,9.92,7.28
035,Long-Term Customer,Short-term,2.64,8.22
036,Long-Term Customer,Short-term,7.34,6.14
037,Long-Term Customer,Long-term,5.58,5.05
038,Long-Term Customer,Long-term,5.07,6.3
039,Soldier,Short-term,0.55,7.26
040,Student,Long-term,4.06,6.28
041,None,Short-term,2.68,4.93
042,Soldier,Short-term,4.49,4.1
043,Soldier,Long-term,0.07,6.01
044,None,Short-term,5.67,0.99
045,None,Short-term,8.83,7.3
046,Long-Term Customer,Long-term,6.09,0.3
047,Student,Long-term,4.77,4.84
048,Long-Term Customer,Short-term,1.87,0.24
049,Soldier,Short-term,2.24,3.78
050,Soldier,Long-term,7.89,1.85
051,Soldier,Long-term,4.53,3.21
052,None,Short-term,5.15,7.98
053,Long-Term Customer,Long-term,3.49,7.27
054,Long-Term Customer,Long-term,5.82,1.17
055,Student,Short-term,7.56,8.87
056,Soldier,Short-term,9.91,4.1
057,Soldier,Long-term,5.09,4.89
058,Student,Short-term,2.22,4.97
059,Student,Long-term,6.81,1.97
060,Long-Term Customer,Long-term,6.45,1.83
061,Student,Long-term,3.04,7.38
